UF,CIDADE,%,Preço Cliente Prop (arredon),Preço Real Prop,Dt Cadas Propost,ID Barco,Nome do Barco,Dias da Semana,Preço Barqueiro,Nome do Roteiro,Tempo Embarcado (H),Cap. Barco,N. Pessoas,OBS,Espécies,Modalidade,Local de Embarque,Hora Saída ,Cortesia,Vitrine?,Preço,Tempo ,Capacidad,Roteiro,Modalidade2
SP,Santos,não,,,27/05/2024,1924,Dona Olga,sábado; domingo; feriado,1200,Cascalho,12,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,sim,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,sábado; domingo; feriado,1500,Cascalho,12,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,"2 caixas de gelo, 2 kg camarão e 5kg sardinha",,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,seg; ter; qua; qui; sex,1000,Cascalho,12,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,sábado; domingo; feriado,2500,Cascalho,24,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,sábado; domingo; feriado,3300,Tubos,24,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,seg; ter; qua; qui; sex,2200,Cascalho,24,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,,,,,,
SP,Santos,não,,,27/05/2024,1924,Dona Olga,seg; ter; qua; qui; sex,3200,Tubos,24,10,10,,,Alto Mar,Ponte Edgard Perdigão,6h ou 18h,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,2500,Poção,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,2500,Ponta da Sela,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,2800,Búzios,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,2800,Castelhanos,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,3100,Vitória,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,3100,Sombrio,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,3100,Bonete,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,3300,Farol do Boi,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,sábado; feriado,3600,Bóia da USP,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,1600,Poção,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,1600,Ponta da Sela,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,1950,Búzios,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,1950,Castelhanos,21,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,2250,Vitória,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,2250,Sombrio,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,2250,Bonete,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,2450,Farol do Boi,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,domingo; seg; ter; qua; qui; sex,2650,Bóia da USP,22,25,20,acima de 20 pessoas será cobrado R$ 100 por pessoa,,Alto Mar,Pier da Figueira,9h da manhã,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,seg; ter; qua; qui; ,15000,Plataforma de Mexilhão,48,25,12,-,,Oceânica,Pier da Figueira,Às 18h,-,,,,,,
SP,São Sebastião,não,,,27/05/2024,1562,Vencedor,seg; ter; qua; qui; ,15000,Parcel da Teta,48,25,12,-,,Oceânica,Pier da Figueira,Às 18h,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2100,Poção,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2100,Ponta da Sela,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2400,Búzios,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2400,Castelhanos,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2800,Vitória,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2800,Sombrio,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,2800,Bonete,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,3000,Farol do Boi,22,20,20,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,sábado; feriado,3300,Bóia da USP,22,20,20,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,1400,Poção,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,1400,Ponta da Sela,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,1750,Búzios,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,1750,Castelhanos,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,2050,Vitória,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,2050,Sombrio,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,2050,Bonete,21,20,20,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,2250,Farol do Boi,22,20,20,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,domingo; seg; ter; qua; qui; sex,2450,Bóia da USP,22,20,20,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,seg; ter; qua; qui; ,13000,Plataforma de Mexilhão,48,20,10,-,,Oceânica,Pier da Figueira,Às 18h,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1570,Diana,seg; ter; qua; qui; ,13000,Parcel da Teta,48,20,10,-,,Oceânica,Pier da Figueira,Às 18h,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,1800,Poção,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,1800,Ponta da Sela,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2100,Búzios,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2100,Castelhanos,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2400,Vitória,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2400,Sombrio,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2400,Bonete,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2600,Farol do Boi,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2900,Bóia da USP,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1200,Poção,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1200,Ponta da Sela,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1500,Búzios,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1500,Castelhanos,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Vitória,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Sombrio,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Bonete,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,2000,Farol do Boi,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,2200,Bóia da USP,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1500,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1500,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1700,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1700,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,2100,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,2300,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1000,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1000,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1300,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1300,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1800,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,2000,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1500,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1500,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1700,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1700,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,2100,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,2300,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1000,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1000,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1300,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1300,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1800,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,2000,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2300,Poção,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2300,Ponta da Sela,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2600,Búzios,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2600,Castelhanos,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Vitória,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Sombrio,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Bonete,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3200,Farol do Boi,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3200,Montão do Trigo,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1700,Poção,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1700,Ponta da Sela,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1900,Búzios,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1900,Castelhanos,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2200,Vitória,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
